Período,Região,Encargos SNS (Hospitalar)
2021-01,LVT,51797012.3
2021-02,Alentejo,3336084.84
2021-02,Norte,36525583.26
2021-03,Norte,48377874.08000002
2021-07,Alentejo,3767850.26
2021-07,Centro,22930224.77
2021-08,Algarve,3212873.559999999
2021-08,Centro,21950182.829999957
2021-10,Algarve,2443773.77
2021-11,Centro,24163407.18
2021-11,Norte,50002728.42
2021-12,Centro,19827751.28
2021-12,Lisboa e Vale do Tejo,54100418.72
2021-12,Norte,13106443.62
2022-01,Algarve,2964569.7
2022-01,Norte,50657443.86
2011-02,Alentejo,2705067.0300000003
2011-04,Lisboa,39670207.77000001
2011-05,Lisboa,42187383.11
2011-05,Norte,27435735.889999997
2011-06,Lisboa,39749575.81
2011-07,Algarve,3313197.38
2011-07,Lisboa,41101050.21000001
2011-08,Algarve,3299500.94
2011-09,Lisboa,39804256.88
2011-10,Centro,13251299.320000002
2011-12,Lisboa,40608773.620000005
2012-01,Algarve,3482607.05
2012-01,Lisboa,40044250.47
2012-01,Norte,26825543.309999995
2012-03,Norte,26682798.7
2012-05,Alentejo,2806247.4099999997
2012-05,Algarve,3588896.35
2012-05,Centro,15461896.76
2012-06,Norte,24042345.32
2012-07,Norte,25885700.759999998
2012-08,Algarve,3885766.6799999997
2012-08,Centro,14053572.660000002
2012-09,Lisboa,37431674.519999996
2012-10,Algarve,3464123.25
2012-10,Norte,26421851.59
2012-11,Centro,13754338.969999999
2012-12,Algarve,2247344.57
2013-04,Centro,13929707.72
2013-05,Lisboa,40672905.46000001
2013-06,Alentejo,2463379.61
2013-06,Algarve,2768135.2
2013-07,Lisboa,39246541.989999995
2013-07,Norte,24941066.91
2013-08,Alentejo,2559895.74
2013-08,Norte,24007870.4
2013-09,Lisboa,34813325.11
2013-10,Centro,14238102.129999999
2014-01,Centro,13997446.800000004
2014-02,Alentejo,2536946.6099999985
2014-02,Algarve,2837748.9299999983
2014-06,Algarve,2977703.200000001
2014-08,Alentejo,2484426.37
2014-09,Centro,14278518.04
2014-10,Norte,27487539.439999986
2014-11,Lisboa,33166965.159999993
2015-01,Centro,13742449.569999998
2015-01,Lisboa,37532596.83000001
2015-02,Centro,13108796.000000004
2015-03,Centro,14795089.989999987
2015-04,Alentejo,2978474.1400000006
2015-05,Lisboa,37284614.96000001
2015-06,Lisboa,39118008.44999998
2015-07,Centro,15420947.43
2015-09,Norte,27343822.95
2015-10,Alentejo,2783544.7600000007
2015-10,Algarve,3439906.1300000018
2015-11,Centro,15149957.299999997
2015-11,Norte,25971034.99999999
2016-02,Centro,14872486.46
2016-02,Alentejo,2732711.64
2016-03,Centro,16017668.8
2016-03,Lisboa,42696340.46
2016-04,Centro,14901554.42
2016-05,Norte,26870458.57
2016-05,Centro,15448848.26
2016-07,Norte,27227269.87
2016-07,Centro,13841883.71
2016-07,Algarve,3435814.32
2016-09,Norte,29181918.22
2016-09,Alentejo,2963912.22
2016-09,Algarve,3303227.79
2016-10,Algarve,2448552.82
2016-12,Algarve,2212368.04
2017-01,Norte,31790164.77
2017-02,Centro,13825944.69
2017-03,Centro,17756575.49
2017-04,Alentejo,2826842.17
2017-05,Centro,15897344.43
2017-06,Centro,16373915.26
2017-08,Algarve,3698077.129999999
2017-09,Alentejo,2893545.949999999
2017-11,Centro,18140122.87000001
2017-11,Algarve,3136232.969999999
2017-12,Alentejo,2889264.57
2017-12,Algarve,2369624.74
2018-02,Alentejo,2791922.11
2018-06,Algarve,4067314.72
2018-07,Algarve,3996554.12000001
2018-11,Lisboa,44801286.07
2018-11,Algarve,395069.560000001
2019-01,Alentejo,3283139.22
2019-01,Norte,39258801.04
2019-03,Lisboa e Vale do Tejo,45669304.82
2019-03,Algarve,4278737.37
2019-04,Centro,19352534.27
2019-05,Alentejo,3229629.22
2019-06,Norte,34245069.0
2019-06,Centro,17411923.66
2019-06,Algarve,3599870.01
2019-09,Alentejo,3221223.03
2019-09,Algarve,4034211.33
2020-01,Lisboa e Vale do Tejo,52597382.92000014
2020-01,Norte,41790561.99999986
2020-02,Norte,35283995.49999988
2020-03,Alentejo,3491390.179999996
2020-03,Algarve,4632813.38
2020-03,Lisboa e Vale do Tejo,55250189.840000086
2020-05,Lisboa e Vale do Tejo,42311467.53999988
2020-06,Alentejo,3246375.049999993
2020-07,Centro,21225677.060000055
2020-08,Algarve,2651616.9
2020-08,Centro,18715618.730000053
2020-09,Centro,19377434.839999925
2020-10,Lisboa e Vale do Tejo,49827741.80000006
2020-10,Norte,42356397.77000017
2020-11,Algarve,1921814.6
2021-01,Norte,44390028.82
2021-02,LVT,48674005.37
2021-03,Alentejo,3226129.779999998
2021-04,Centro,21244620.15999998
2021-05,Algarve,2951372.32
2021-05,Lisboa e Vale do Tejo,54672128.38
2021-06,Centro,20172889.02
2021-09,Lisboa e Vale do Tejo,57840830.97
2021-10,Norte,48159092.76
2021-11,Alentejo,4159941.19
2021-12,Alentejo,4012024.15
2022-01,Lisboa e Vale do Tejo,57904210.8
2022-03,Lisboa e Vale do Tejo,65554733.24
2011-01,Centro,14782195.77
2011-01,Lisboa,39887622.36
2011-02,Algarve,3277668.06
2011-02,Norte,25979188.479999993
2011-05,Alentejo,2820105.6799999997
2011-06,Alentejo,2809763.96
2011-06,Norte,25346502.94
2011-07,Norte,25782289.18
2011-08,Norte,25610461.169999998
2011-11,Alentejo,2877248.6900000004
2011-11,Algarve,2900624.76
2011-11,Norte,26323622.319999997
2011-12,Centro,13905193.840000002
2012-02,Alentejo,2727153.6700000004
2012-02,Centro,13613446.789999997
2012-02,Lisboa,39204672.260000005
2012-03,Alentejo,2877870.02
2012-03,Lisboa,39581383.24000001
2012-04,Alentejo,2651796.35
2012-04,Centro,13086764.24
2012-07,Centro,13918187.51
2012-08,Alentejo,2756917.1
2012-08,Lisboa,39598048.16
2012-10,Alentejo,2937089.04
2012-11,Alentejo,2569867.54
2012-11,Lisboa,40564123.27
2012-12,Norte,21206816.13
2013-01,Alentejo,2818753.42
2013-01,Algarve,3580096.19
2013-01,Norte,28347134.27
2013-02,Alentejo,2623681.52
2013-02,Centro,13243740.8
2013-03,Alentejo,2753796.41
2013-04,Algarve,3211674.59
2013-05,Algarve,3079230.08
2013-06,Centro,12548937.3
2013-06,Lisboa,34340572.120000005
2013-07,Centro,14448528.460000003
2013-08,Lisboa,34962710.379999995
2013-10,Alentejo,2856375.9699999997
2013-10,Algarve,2743545.8
2013-11,Lisboa,34813982.37
2013-12,Lisboa,34870060.870000005
2014-01,Algarve,2634824.4800000037
2014-01,Lisboa,37939348.01999998
2014-02,Norte,23981495.710000005
2014-03,Alentejo,2608181.38
2014-03,Algarve,2994448.0499999993
2014-03,Lisboa,36887664.830000035
2014-03,Norte,20956551.280000005
2014-07,Lisboa,38097723.639999986
2014-08,Centro,12386263.71
2014-08,Lisboa,33762809.139999986
2014-08,Norte,25217004.129999988
2014-09,Alentejo,2715235.139999998
2014-10,Lisboa,36255391.79
2014-12,Norte,22292043.21
2015-01,Algarve,3116593.319999998
2015-02,Alentejo,2570498.469999999
2015-04,Centro,15040847.289999988
2015-05,Alentejo,2500888.17
2015-05,Algarve,3126876.569999999
2015-06,Centro,15260997.150000023
2015-07,Norte,28716648.01000001
2015-08,Alentejo,2641214.690000003
2015-08,Algarve,3163850.350000002
2015-09,Alentejo,2692282.03
2015-10,Centro,15469370.560000004
2015-12,Algarve,3241869.9899999998
2015-12,Lisboa,41331673.239999995
2016-01,Algarve,3348016.55
2016-02,Algarve,3082860.99
2016-03,Algarve,3428920.61
2016-04,Lisboa,39078603.56
2016-04,Alentejo,2759768.08
2016-06,Lisboa,41115733.39
2016-07,Lisboa,40164275.57
2016-08,Norte,29075272.5
2016-08,Algarve,3546352.53
2016-09,Centro,15204764.82
2016-10,Norte,27221467.75
2016-11,Centro,17289773.06
2016-11,Lisboa,41868037.54
2016-11,Algarve,3224193.91
2016-12,Lisboa,40681781.81
2016-12,Alentejo,2910015.39
2017-01,Algarve,3753105.51
2017-03,Lisboa,46598227.45
2017-04,Norte,29920564.17
2017-05,Norte,31147135.13
2017-05,Alentejo,3172253.6
2017-08,Lisboa,42339311.26000003
2017-10,Centro,17056727.66
2017-10,Lisboa,43272566.35999995
2018-01,Alentejo,3023823.99
2018-04,Alentejo,3098986.79
2018-04,Algarve,4003329.87
2018-05,Centro,17840153.88
2018-05,Alentejo,3164437.2
2018-05,Algarve,3832748.9
2018-06,Norte,35605257.91
2018-06,Alentejo,3222058.55
2018-07,Norte,36557844.79
2018-08,Norte,35906739.58
2018-08,Alentejo,3281918.52
2018-09,Centro,17514808.2
2018-09,Algarve,3648676.44
2018-11,Norte,30600404.11
2018-12,Lisboa e Vale do Tejo,39395971.54
2018-12,Norte,8794250.4
2019-01,Centro,20224547.58
2019-02,Algarve,4042951.32
2019-02,Norte,37046050.2099999
2019-05,Norte,42680352.42
2019-07,Centro,19924121.67
2019-08,Algarve,3521525.24
2019-09,Centro,18190754.83
2019-11,Norte,32492371.11
2020-01,Centro,20260728.290000033
2020-03,Centro,20911789.290000048
2020-04,Algarve,3728111.0299999975
2020-05,Alentejo,2827419.910000001
2020-05,Centro,17063448.41000006
2020-07,Alentejo,3534480.209999993
2020-09,Lisboa e Vale do Tejo,50641748.13999986
2020-11,Alentejo,3697345.33
2020-11,Centro,20685756.42
2020-12,Alentejo,3590752.65
2020-12,Centro,17343496.1
2020-12,LVT,47203212.84
2021-01,Algarve,2784644.59
2021-01,Centro,19304740.7
2021-03,Centro,21327980.05000001
2021-03,LVT,58126970.43999998
2021-04,LVT,52341936.21000013
2021-04,Norte,48335362.639999926
2021-05,Norte,38002503.23
2021-06,Alentejo,3633031.88
2021-06,Norte,44076271.98
2021-07,Norte,47169934.68
2021-08,Alentejo,3717166.700000001
2021-08,Lisboa e Vale do Tejo,53312065.260000035
2021-09,Algarve,2603675.35
2021-09,Norte,52185780.6
2021-10,Alentejo,3796665.29
2021-11,Algarve,2638712.7
2021-11,Lisboa e Vale do Tejo,63120326.63
2022-01,Centro,22970877.02
2022-02,Lisboa e Vale do Tejo,52649821.94
2011-01,Alentejo,2774186.44
2011-03,Alentejo,3041527.3000000003
2011-03,Centro,15249042.969999995
2011-03,Lisboa,42615092.599999994
2011-05,Algarve,3470740.1799999997
2011-05,Centro,14960277.729999999
2011-06,Algarve,3413789.58
2011-06,Centro,14358921.8
2011-08,Alentejo,2823826.9000000004
2011-09,Alentejo,2696257.2600000002
2011-09,Norte,26168544.889999997
2011-11,Centro,14750586.180000002
2011-11,Lisboa,41682966.04
2012-01,Centro,13925492.209999997
2012-03,Centro,15107001.65
2012-04,Algarve,3256811.21
2012-06,Alentejo,2576585.41
2012-06,Algarve,3204407.9299999997
2012-06,Centro,13396905.430000002
2012-06,Lisboa,37669723.04
2012-07,Alentejo,2818937.0300000003
2012-07,Algarve,3088001.23
2012-07,Lisboa,40600984.46999999
2012-09,Alentejo,2456377.05
2012-09,Algarve,3030415.56
2012-10,Lisboa,42288235.910000004
2013-02,Algarve,3178720.49
2013-03,Lisboa,40543094.489999995
2013-04,Alentejo,2903270.83
2013-05,Norte,26417449.400000002
2013-09,Algarve,2823370.91
2013-09,Centro,13107715.99
2013-11,Alentejo,2568156.6100000003
2013-11,Centro,12863614.22
2013-12,Centro,13024903.030000001
2014-01,Alentejo,2685929.240000001
2014-01,Norte,27998089.00000001
2014-05,Alentejo,2700013.84
2014-06,Alentejo,2594740.9199999985
2014-06,Centro,12940977.070000011
2014-06,Lisboa,34174903.6
2014-07,Algarve,3141075.330000006
2014-07,Centro,14131177.309999999
2014-07,Norte,28626752.37000001
2014-08,Algarve,2849857.2400000007
2014-09,Algarve,3056358.4900000044
2014-09,Lisboa,35927312.89
2014-10,Algarve,3224342.220000001
2014-10,Centro,14703853.280000009
2014-12,Centro,13234272.59
2015-03,Norte,23775405.05
2015-04,Lisboa,39607311.499999985
2015-06,Alentejo,2860254.1899999995
2015-07,Algarve,3502441.6699999995
2015-08,Centro,14071312.77999999
2015-09,Algarve,3157378.589999999
2015-12,Centro,15811663.129999977
2016-01,Norte,29380535.1
2016-01,Centro,14834228.63
2016-01,Lisboa,39961379.72
2016-01,Alentejo,2576785.91
2016-03,Alentejo,2964899.11
2016-04,Norte,27532825.52
2016-05,Alentejo,2803344.78
2016-06,Centro,15445781.43
2016-08,Centro,16564630.69
2016-12,Norte,23755169.37
2017-02,Alentejo,2599735.91
2017-02,Algarve,3176132.06
2017-03,Alentejo,3276818.76
2017-04,Algarve,3516473.45
2017-05,Lisboa,44752627.36
2017-05,Algarve,2619911.45
2017-06,Lisboa,42790637.410000175
2017-06,Algarve,3719245.35
2017-07,Lisboa,42817827.38999999
2017-09,Algarve,3614037.96
2017-12,Norte,9630408.85000001
2018-01,Norte,35036570.61
2018-01,Centro,17215597.97
2018-01,Lisboa,46779441.0799999
2018-02,Centro,16340626.32
2018-02,Lisboa,41779782.98
2018-03,Centro,17829513.64
2018-03,Alentejo,3126427.16
2018-04,Centro,16920785.83
2018-04,Lisboa,44506765.52
2018-05,Lisboa,45202269.1999998
2018-08,Centro,18263527.17
2018-09,Lisboa,42086455.46
2018-10,Centro,18504893.35
2018-10,Lisboa,46598783.56
2018-11,Alentejo,3231523.19
2018-12,Algarve,2721986.01
2018-12,Centro,15135702.96
2019-01,Algarve,4422843.3
2019-01,Lisboa e Vale do Tejo,50443809.93
2019-02,Alentejo,3007031.51
2019-02,Centro,17178925.95
2019-02,Lisboa e Vale do Tejo,45946000.3999999
2019-04,Norte,37151577.89
2019-04,Algarve,4213484.81
2019-05,Lisboa e Vale do Tejo,49640622.9400001
2019-06,Lisboa e Vale do Tejo,43654677.88
2019-07,Alentejo,3345167.88
2019-08,Lisboa e Vale do Tejo,47822110.6
2019-09,Lisboa e Vale do Tejo,46143310.92
2019-10,Algarve,2037158.7
2019-11,Lisboa e Vale do Tejo,43819978.02
2019-12,Algarve,1470465.1000000008
2019-12,Lisboa e Vale do Tejo,49787292.1200004
2020-02,Algarve,2848607.9399999995
2020-04,Centro,16679703.449999966
2020-04,Lisboa e Vale do Tejo,45834078.32999994
2020-06,Centro,18593035.14000002
2020-06,Norte,38027437.90000004
2020-08,Alentejo,2966572.6999999946
2020-08,Norte,39555758.929999955
2020-09,Alentejo,3325495.7900000005
2020-11,Lisboa e Vale do Tejo,51220429.43
2020-12,Norte,13492407.63
2021-02,Centro,17997597.74
2021-04,Algarve,3027514.259999999
2021-05,Centro,22575345.3
2021-06,Algarve,3071802.01
2021-07,Algarve,3786990.03
2021-07,Lisboa e Vale do Tejo,58900324.01
2021-09,Centro,22871838.32
2021-10,Lisboa e Vale do Tejo,54227365.86
2021-12,Algarve,2014038.57
2022-01,Alentejo,3858671.25
2022-02,Centro,21357815.92
2022-02,Norte,49160010.65
2022-03,Centro,22273017.39
