Período;ARS;Hospital;Localização Geográfica;DCI;Grupo Hospital;Valor Biossimilar;Valor Não Biossimilar;Quota Biossimilar
2019-06;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713,-9.1822554;Filgrastim;Grupo D;800.0;0.0;100.0
2019-06;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Rituximab;Grupo D;50.0;40.0;55.55555555555556
2019-06;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Trastuzumab;Grupo D;4.0;50.0;7.4074074074074066
2019-06;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;Trastuzumab;Grupo D;0.0;132.0;0.0
2019-06;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;Trastuzumab;Grupo D;50.0;40.0;55.55555555555556
2019-06;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Adalimumab;Grupo E;0.0;834.0;0.0
2019-06;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Enoxaparina sódica;Grupo E;0.0;4506.0;0.0
2019-06;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Enoxaparina sódica;Grupo E;8550.0;60.0;99.30313588850174
2019-06;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Etanercept;Grupo E;968.0;656.0;59.60591133004927
2019-06;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Etanercept;Grupo E;200.0;1048.0;16.025641025641026
2019-06;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Etanercept;Grupo E;480.0;496.0;49.18032786885246
2019-06;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;Etanercept;Grupo E;68.0;376.0;15.315315315315313
2019-06;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;Filgrastim;Grupo E;630.0;10.0;98.4375
2019-06;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Filgrastim;Grupo E;800.0;0.0;100.0
2019-06;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;Filgrastim;Grupo E;570.0;0.0;100.0
2019-06;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Infliximab;Grupo E;420.0;300.0;58.333333333333336
2019-06;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Rituximab;Grupo E;210.0;10.0;95.45454545454545
2019-06;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;Rituximab;Grupo E;108.0;0.0;100.0
2019-06;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Somatropina;Grupo E;0.0;110.0;0.0
2019-06;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056,-8.6010558;Trastuzumab;Grupo E;23.0;40.0;36.507936507936506
2019-06;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Adalimumab;Grupo F;0.0;30.0;0.0
2019-06;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514,-8.4103814;Epoetina;Grupo F;60.0;0.0;100.0
2019-06;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514,-8.4103814;Filgrastim;Grupo F;700.0;0.0;100.0
2019-06;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Infliximab;Grupo F;160.0;0.0;100.0
2019-06;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Trastuzumab;Grupo F;100.0;205.0;32.78688524590164
2019-06;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Trastuzumab;Grupo F;0.0;600.0;0.0
2019-07;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Adalimumab;Grupo B;0.0;102.0;0.0
2019-07;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Adalimumab;Grupo B;10.0;36.0;21.73913043478261
2019-07;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263,-7.4981271;Epoetina;Grupo B;30.0;0.0;100.0
2019-07;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Etanercept;Grupo B;8.0;28.0;22.22222222222222
2019-07;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;Etanercept;Grupo B;0.0;160.0;0.0
2019-07;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Filgrastim;Grupo B;50.0;0.0;100.0
2019-07;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Filgrastim;Grupo B;30.0;0.0;100.0
2019-07;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;Infliximab;Grupo B;0.0;9.0;0.0
2019-07;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Trastuzumab;Grupo B;30.0;12.0;71.42857142857143
2019-07;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Adalimumab;Grupo C;20.0;154.0;11.494252873563218
2019-07;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Adalimumab;Grupo C;950.0;40.0;95.95959595959596
2019-07;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884,-8.5458794;Enoxaparina sódica;Grupo C;0.0;6000.0;0.0
2019-07;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;Enoxaparina sódica;Grupo C;6768.0;0.0;100.0
2019-07;Norte;Centro Hospitalar do Tamega e Sousa, E.P.E.;41.2494561,-8.264901;Enoxaparina sódica;Grupo C;5490.0;0.0;100.0
2019-07;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;Enoxaparina sódica;Grupo C;4302.0;0.0;100.0
2019-07;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054,-8.8252713;Enoxaparina sódica;Grupo C;0.0;6888.0;0.0
2019-07;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;Epoetina;Grupo C;114.0;120.0;48.717948717948715
2019-07;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054,-8.8252713;Epoetina;Grupo C;18.0;0.0;100.0
2019-07;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;Etanercept;Grupo C;12.0;108.0;10.0
2019-07;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Etanercept;Grupo C;72.0;140.0;33.9622641509434
2019-07;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Etanercept;Grupo C;264.0;36.0;88.0
2019-07;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123,-7.8721227;Etanercept;Grupo C;32.0;4.0;88.88888888888889
2019-07;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884,-8.5458794;Infliximab;Grupo C;60.0;60.0;50.0
2019-07;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054,-8.8252713;Rituximab;Grupo C;6.0;0.0;100.0
2019-07;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Somatropina;Grupo C;0.0;4.0;0.0
2019-07;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123,-7.8721227;Trastuzumab;Grupo C;30.0;8.0;78.94736842105263
2019-07;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Adalimumab;Grupo D;60.0;200.0;23.076923076923077
2019-07;Alentejo;Hospital Espírito Santo, E.P.E. - Evora;38.5684861,-7.9032848;Adalimumab;Grupo D;90.0;200.0;31.03448275862069
2019-07;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;Enoxaparina sódica;Grupo D;0.0;12618.0;0.0
2019-07;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;Enoxaparina sódica;Grupo D;15060.0;0.0;100.0
2019-07;Alentejo;Hospital Espírito Santo, E.P.E. - Evora;38.5684861,-7.9032848;Epoetina;Grupo D;90.0;378.0;19.230769230769234
2019-07;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138,-8.5972617;Etanercept;Grupo D;200.0;88.0;69.44444444444444
2019-07;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;Filgrastim;Grupo D;150.0;0.0;100.0
2019-07;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;Infliximab;Grupo D;300.0;0.0;100.0
2019-07;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;Rituximab;Grupo D;55.0;0.0;100.0
2019-07;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138,-8.5972617;Somatropina;Grupo D;0.0;36.0;0.0
2019-07;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Trastuzumab;Grupo D;4.0;60.0;6.25
2019-07;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138,-8.5972617;Trastuzumab;Grupo D;0.0;87.0;0.0
2019-07;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;Trastuzumab;Grupo D;0.0;19.0;0.0
2019-07;Alentejo;Hospital Espírito Santo, E.P.E. - Evora;38.5684861,-7.9032848;Trastuzumab;Grupo D;20.0;0.0;100.0
2019-07;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;Trastuzumab;Grupo D;85.0;30.0;73.91304347826086
2019-07;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Adalimumab;Grupo E;50.0;1270.0;3.787878787878788
2019-07;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;Enoxaparina sódica;Grupo E;10536.0;0.0;100.0
2019-07;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Epoetina;Grupo E;0.0;182.0;0.0
2019-07;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056,-8.6010558;Etanercept;Grupo E;480.0;352.0;57.692307692307686
2019-07;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Filgrastim;Grupo E;1520.0;0.0;100.0
2019-07;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;Infliximab;Grupo E;200.0;40.0;83.33333333333334
2019-07;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;Rituximab;Grupo E;146.0;99.0;59.591836734693885
2019-07;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056,-8.6010558;Somatropina;Grupo E;0.0;133.0;0.0
2019-07;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Somatropina;Grupo E;0.0;170.0;0.0
2019-07;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;Somatropina;Grupo E;60.0;616.0;8.875739644970414
2019-07;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Adalimumab;Grupo F;40.0;50.0;44.44444444444444
2019-07;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Enoxaparina sódica;Grupo F;3300.0;0.0;100.0
2019-07;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Enoxaparina sódica;Grupo F;0.0;7200.0;0.0
2019-07;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Epoetina;Grupo F;0.0;540.0;0.0
2019-07;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Rituximab;Grupo F;0.0;200.0;0.0
2019-07;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Somatropina;Grupo F;0.0;350.0;0.0
2019-07;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Trastuzumab;Grupo F;200.0;1120.0;15.151515151515152
2019-08;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967,-8.6318023;Enoxaparina sódica;Grupo A;0.0;90.0;0.0
2019-08;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984,-8.4802503;Adalimumab;Grupo B;4.0;44.0;8.333333333333332
2019-08;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Enoxaparina sódica;Grupo B;426.0;0.0;100.0
2019-08;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916,-7.2734793;Enoxaparina sódica;Grupo B;10494.0;0.0;100.0
2019-08;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Epoetina;Grupo B;18.0;0.0;100.0
2019-08;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916,-7.2734793;Epoetina;Grupo B;36.0;42.0;46.15384615384615
2019-08;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;Infliximab;Grupo B;0.0;6.0;0.0
2019-08;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263,-7.4981271;Trastuzumab;Grupo B;0.0;2.0;0.0
2019-08;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;Adalimumab;Grupo C;0.0;160.0;0.0
2019-08;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173,-8.3086907;Adalimumab;Grupo C;0.0;490.0;0.0
2019-08;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Adalimumab;Grupo C;100.0;30.0;76.92307692307693
2019-08;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Enoxaparina sódica;Grupo C;0.0;5040.0;0.0
2019-08;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173,-8.3086907;Enoxaparina sódica;Grupo C;0.0;7128.0;0.0
2019-08;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884,-8.5458794;Epoetina;Grupo C;0.0;410.0;0.0
2019-08;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Epoetina;Grupo C;412.0;0.0;100.0
2019-08;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173,-8.3086907;Epoetina;Grupo C;27.0;0.0;100.0
2019-08;Norte;Centro Hospitalar do Tamega e Sousa, E.P.E.;41.2494561,-8.264901;Etanercept;Grupo C;116.0;28.0;80.55555555555556
2019-08;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456,-8.6745115;Etanercept;Grupo C;128.0;24.0;84.21052631578947
2019-08;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456,-8.6745115;Filgrastim;Grupo C;600.0;0.0;100.0
2019-08;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072,-8.5404429;Infliximab;Grupo C;18.0;10.0;64.28571428571429
2019-08;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;Rituximab;Grupo C;0.0;25.0;0.0
2019-08;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Rituximab;Grupo C;36.0;4.0;90.0
2019-08;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;Rituximab;Grupo C;24.0;0.0;100.0
2019-08;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;Trastuzumab;Grupo C;0.0;50.0;0.0
2019-08;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Trastuzumab;Grupo C;0.0;4.0;0.0
2019-08;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Trastuzumab;Grupo C;40.0;60.0;40.0
2019-08;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713,-9.1822554;Adalimumab;Grupo D;60.0;4.0;93.75
2019-08;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Enoxaparina sódica;Grupo D;12324.0;0.0;100.0
2019-08;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;Enoxaparina sódica;Grupo D;0.0;13500.0;0.0
2019-08;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;Etanercept;Grupo D;72.0;872.0;7.627118644067797
2019-08;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713,-9.1822554;Etanercept;Grupo D;228.0;320.0;41.605839416058394
2019-08;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;Etanercept;Grupo D;72.0;336.0;17.647058823529413
2019-08;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713,-9.1822554;Infliximab;Grupo D;300.0;60.0;83.33333333333334
2019-08;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Trastuzumab;Grupo D;5.0;50.0;9.090909090909092
2019-08;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;Trastuzumab;Grupo D;0.0;302.0;0.0
2019-08;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Enoxaparina sódica;Grupo E;0.0;46992.0;0.0
2019-08;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;Epoetina;Grupo E;0.0;1306.0;0.0
2019-08;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Etanercept;Grupo E;900.0;56.0;94.14225941422593
2019-08;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Filgrastim;Grupo E;700.0;0.0;100.0
2019-08;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;Filgrastim;Grupo E;770.0;0.0;100.0
2019-08;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;Infliximab;Grupo E;100.0;0.0;100.0
2019-08;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;Rituximab;Grupo E;24.0;25.0;48.97959183673469
2019-08;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;Rituximab;Grupo E;100.0;0.0;100.0
2019-08;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Rituximab;Grupo E;230.0;67.0;77.44107744107744
2019-08;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Rituximab;Grupo E;100.0;98.0;50.505050505050505
2019-08;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948,-9.1371248;Rituximab;Grupo E;139.0;36.0;79.42857142857143
2019-08;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;Trastuzumab;Grupo E;20.0;130.0;13.333333333333334
2019-08;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Enoxaparina sódica;Grupo F;0.0;3300.0;0.0
2019-08;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;Enoxaparina sódica;Psiquiátricos;210.0;0.0;100.0
2019-09;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967,-8.6318023;Enoxaparina sódica;Grupo A;414.0;96.0;81.17647058823529
2019-09;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984,-8.4802503;Adalimumab;Grupo B;10.0;50.0;16.666666666666664
2019-09;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Adalimumab;Grupo B;0.0;108.0;0.0
2019-09;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234,-8.6171561;Adalimumab;Grupo B;0.0;30.0;0.0
2019-09;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263,-7.4981271;Adalimumab;Grupo B;0.0;60.0;0.0
2019-09;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532,-6.7888197;Adalimumab;Grupo B;0.0;38.0;0.0
2019-09;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Enoxaparina sódica;Grupo B;8148.0;0.0;100.0
2019-09;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;Enoxaparina sódica;Grupo B;2892.0;0.0;100.0
2019-09;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263,-7.4981271;Epoetina;Grupo B;30.0;0.0;100.0
2019-09;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;Epoetina;Grupo B;40.0;0.0;100.0
2019-09;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Etanercept;Grupo B;12.0;28.0;30.0
2019-09;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Infliximab;Grupo B;0.0;27.0;0.0
2019-09;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Infliximab;Grupo B;45.0;15.0;75.0
2019-09;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;Adalimumab;Grupo C;20.0;0.0;100.0
2019-09;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;Enoxaparina sódica;Grupo C;720.0;0.0;100.0
2019-09;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;Enoxaparina sódica;Grupo C;3924.0;0.0;100.0
2019-09;Norte;Centro Hospitalar do Tamega e Sousa, E.P.E.;41.2494561,-8.264901;Enoxaparina sódica;Grupo C;10350.0;0.0;100.0
2019-09;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425,-7.4263845;Enoxaparina sódica;Grupo C;1164.0;0.0;100.0
