Período,Região,Grupo Terapêutico,Encargos SNS (Ambulatório)
2011-10,Centro,Medicamentos antineoplásicos e imunomoduladores,186371.55
2011-10,Centro,Medicamentos usados em afecções oculares,721979.9
2011-10,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,156461.06
2011-10,Alentejo,Nutrição e metabolismo,8155.28
2011-10,Algarve,Nutrição e metabolismo,5805.45
2011-10,Centro,Nutrição e metabolismo,47022.48
2011-10,Norte,Nutrição e metabolismo,58540.56
2011-10,Lisboa,Sangue,1233366.1
2011-10,Norte,Sangue,1168091.6099999999
2011-10,Lisboa,Sistema nervoso central,8776407.26
2011-10,Algarve,Vacinas e imunoglobulinas,68370.74
2011-11,Centro,Aparelho cardiovascular,8898768.17
2011-11,Norte,Aparelho cardiovascular,9592947.26
2011-11,Algarve,Aparelho geniturinário,73030.8
2011-11,Norte,Aparelho geniturinário,532499.85
2011-11,Centro,Aparelho locomotor,1937837.31
2011-11,Norte,Aparelho locomotor,2179344.69
2011-11,Alentejo,Aparelho respiratório,292319.9
2011-11,Lisboa,Aparelho respiratório,2614449.1700000004
2011-11,Centro,Correctivos da volémia e das alterações electrolíticas,2286.7
2011-11,Lisboa,Correctivos da volémia e das alterações electrolíticas,2792.03
2011-11,Centro,Hormonas e medicamentos usados no tratamento das doenças endócrinas,4718574.010000001
2011-11,Alentejo,Medicação antialérgica,21485.65
2011-11,Algarve,Medicação antialérgica,15162.96
2011-11,Norte,Medicação antialérgica,129262.87000000001
2011-11,Algarve,Medicamentos anti-infecciosos,169331.49
2011-11,Centro,Medicamentos antineoplásicos e imunomoduladores,183064.81
2011-11,Centro,Medicamentos usados em afecções oculares,724292.9400000001
2011-11,Norte,Medicamentos usados em afecções oculares,639709.0700000001
2011-11,Alentejo,Medicamentos usados em afecções otorrinolaringológicas,12316.85
2011-11,Centro,Medicamentos usados em afecções otorrinolaringológicas,63599.369999999995
2011-11,Centro,Nutrição e metabolismo,43561.4
2011-11,Centro,Sangue,1128381.6600000001
2011-12,Centro,Aparelho cardiovascular,9579890.74
2011-12,Alentejo,Aparelho digestivo,231246.59
2011-12,Norte,Aparelho geniturinário,586806.23
2011-12,Alentejo,Aparelho locomotor,319876.4
2011-12,Alentejo,Aparelho respiratório,311550.32
2011-12,Alentejo,Correctivos da volémia e das alterações electrolíticas,262.22
2011-12,Alentejo,Medicamentos usados em afecções cutâneas,23023.07
2011-12,Centro,Medicamentos usados em afecções cutâneas,202887.72
2011-12,Algarve,Medicamentos usados em afecções otorrinolaringológicas,10919.73
2011-12,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,153266.91999999998
2011-12,Algarve,Medicamentos usados no tratamento de intoxicações,605.64
2011-12,Lisboa,Medicamentos usados no tratamento de intoxicações,4624.87
2011-12,Alentejo,Nutrição e metabolismo,7132.38
2011-12,Lisboa,Sistema nervoso central,9823860.4
2012-01,Lisboa,Aparelho cardiovascular,10678541.25
2012-01,Centro,Aparelho digestivo,918559.47
2012-01,Lisboa,Aparelho respiratório,2651070.69
2012-01,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5706555.9
2012-01,Lisboa,Medicamentos anti-infecciosos,1797975.94
2012-01,Algarve,Medicamentos antineoplásicos e imunomoduladores,20961.66
2012-01,Algarve,Medicamentos usados em afecções otorrinolaringológicas,11618.24
2012-01,Centro,Medicamentos usados no tratamento de intoxicações,3320.38
2012-01,Norte,Medicamentos usados no tratamento de intoxicações,1491.88
2012-01,Alentejo,Nutrição e metabolismo,7286.42
2012-01,Algarve,Sistema nervoso central,834104.01
2012-01,Centro,Sistema nervoso central,6149569.22
2012-01,Lisboa,Sistema nervoso central,8562358.81
2012-01,Alentejo,Vacinas e imunoglobulinas,2132.38
2012-02,Centro,Aparelho digestivo,862277.4099999999
2012-02,Alentejo,Aparelho geniturinário,83934.41
2012-02,Alentejo,Aparelho locomotor,280868.38
2012-02,Algarve,Aparelho locomotor,260470.18
2012-02,Lisboa,Aparelho locomotor,2102441.08
2012-02,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5336933.66
2012-02,Algarve,Medicação antialérgica,18881.19
2012-02,Lisboa,Medicamentos antineoplásicos e imunomoduladores,237565.0
2012-02,Algarve,Medicamentos usados em afecções cutâneas,31334.58
2012-02,Lisboa,Medicamentos usados em afecções cutâneas,287001.81
2012-02,Norte,Medicamentos usados em afecções cutâneas,270411.75
2012-02,Centro,Medicamentos usados em afecções oculares,658118.4099999999
2012-02,Algarve,Medicamentos usados em afecções otorrinolaringológicas,13147.63
2012-02,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,172083.15
2012-02,Lisboa,Medicamentos usados no tratamento de intoxicações,4329.16
2012-02,Algarve,Nutrição e metabolismo,4955.09
2012-02,Norte,Sangue,1012613.59
2012-02,Alentejo,Vacinas e imunoglobulinas,1605.35
2012-02,Lisboa,Vacinas e imunoglobulinas,39128.64
2012-02,Norte,Vacinas e imunoglobulinas,30588.57
2012-03,Centro,Aparelho digestivo,939290.35
2012-03,Centro,Aparelho geniturinário,529446.61
2012-03,Alentejo,Aparelho locomotor,311277.08
2012-03,Algarve,Aparelho locomotor,281526.85
2012-03,Alentejo,Aparelho respiratório,317645.97
2012-03,Centro,Aparelho respiratório,1769189.8499999999
2012-03,Alentejo,Correctivos da volémia e das alterações electrolíticas,427.78
2012-03,Algarve,Correctivos da volémia e das alterações electrolíticas,268.9
2012-03,Norte,Medicamentos anti-infecciosos,1572658.98
2012-03,Alentejo,Medicamentos antineoplásicos e imunomoduladores,28670.31
2012-03,Alentejo,Medicamentos usados em afecções cutâneas,27032.73
2012-03,Algarve,Medicamentos usados em afecções cutâneas,34833.83
2012-03,Centro,Medicamentos usados em afecções cutâneas,211785.72
2012-03,Norte,Medicamentos usados em afecções cutâneas,306454.31
2012-03,Algarve,Medicamentos usados em afecções oculares,79065.86
2012-03,Norte,Medicamentos usados em afecções oculares,656841.06
2012-03,Algarve,Medicamentos usados em afecções otorrinolaringológicas,13999.55
2012-03,Alentejo,Nutrição e metabolismo,7790.48
2012-03,Centro,Nutrição e metabolismo,47973.26
2012-03,Lisboa,Nutrição e metabolismo,59875.92
2012-03,Algarve,Sangue,145068.15
2012-03,Algarve,Sistema nervoso central,870834.8400000001
2012-04,Algarve,Aparelho cardiovascular,1105331.81
2012-04,Centro,Aparelho cardiovascular,7632964.15
2012-04,Alentejo,Aparelho locomotor,260897.56
2012-04,Centro,Aparelho respiratório,1490851.95
2012-04,Norte,Aparelho respiratório,2065127.4400000002
2012-04,Alentejo,Correctivos da volémia e das alterações electrolíticas,386.29
2012-04,Centro,Correctivos da volémia e das alterações electrolíticas,2138.21
2012-04,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5438931.369999999
2012-04,Alentejo,Medicação antialérgica,20989.13
2012-04,Algarve,Medicação antialérgica,14726.939999999999
2012-04,Lisboa,Medicação antialérgica,163767.06
2012-04,Lisboa,Medicamentos anti-infecciosos,1344821.87
2012-04,Alentejo,Medicamentos usados em afecções cutâneas,24144.4
2012-04,Lisboa,Medicamentos usados em afecções oculares,911625.96
2012-04,Norte,Medicamentos usados em afecções oculares,605958.3400000001
2012-04,Centro,Medicamentos usados no tratamento de intoxicações,3893.48
2012-04,Norte,Nutrição e metabolismo,51923.95
2012-04,Algarve,Sangue,128130.91
2012-04,Centro,Sangue,906221.06
2012-04,Lisboa,Sangue,1055263.36
2012-04,Algarve,Vacinas e imunoglobulinas,2836.2
2012-05,Algarve,Aparelho digestivo,107913.84
2012-05,Lisboa,Aparelho digestivo,1100834.92
2012-05,Alentejo,Aparelho locomotor,300774.54
2012-05,Algarve,Aparelho locomotor,271604.65
2012-05,Norte,Aparelho locomotor,2104822.23
2012-05,Lisboa,Aparelho respiratório,2564920.79
2012-05,Alentejo,Hormonas e medicamentos usados no tratamento das doenças endócrinas,839949.7
2012-05,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5898719.680000001
2012-05,Alentejo,Medicação antialérgica,26082.530000000002
2012-05,Alentejo,Medicamentos anti-infecciosos,170450.94
2012-05,Alentejo,Medicamentos antineoplásicos e imunomoduladores,31312.809999999998
2012-05,Norte,Medicamentos antineoplásicos e imunomoduladores,276688.75
2012-05,Algarve,Medicamentos usados em afecções cutâneas,37396.42
2012-05,Centro,Medicamentos usados em afecções cutâneas,219604.41
2012-05,Lisboa,Medicamentos usados em afecções cutâneas,331595.95
2012-05,Norte,Medicamentos usados em afecções oculares,667767.14
2012-05,Algarve,Medicamentos usados em afecções otorrinolaringológicas,12050.050000000001
2012-05,Centro,Medicamentos usados em afecções otorrinolaringológicas,62772.21
2012-05,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,151842.94
2012-05,Norte,Medicamentos usados em afecções otorrinolaringológicas,75919.36
2012-05,Lisboa,Sangue,1187280.35
2012-05,Norte,Sangue,1054679.06
2012-05,Alentejo,Sistema nervoso central,1249992.92
2012-05,Lisboa,Sistema nervoso central,8648917.47
2012-05,Norte,Sistema nervoso central,6862747.07
2012-05,Centro,Vacinas e imunoglobulinas,17990.05
2012-06,Alentejo,Aparelho cardiovascular,1402760.0499999998
2012-06,Centro,Aparelho cardiovascular,7271496.37
2012-06,Norte,Aparelho cardiovascular,7944879.4
2012-06,Algarve,Aparelho digestivo,98727.32
2012-06,Norte,Aparelho digestivo,940500.63
2012-06,Algarve,Aparelho geniturinário,66730.3
2012-06,Norte,Aparelho locomotor,1867792.94
2012-06,Alentejo,Aparelho respiratório,245234.28
2012-06,Norte,Aparelho respiratório,2028622.42
2012-06,Alentejo,Hormonas e medicamentos usados no tratamento das doenças endócrinas,768286.96
2012-06,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5380248.15
2012-06,Alentejo,Medicamentos antineoplásicos e imunomoduladores,24786.68
2012-06,Lisboa,Medicamentos usados em afecções cutâneas,294847.86000000004
2012-06,Norte,Medicamentos usados em afecções otorrinolaringológicas,64635.840000000004
2012-06,Norte,Nutrição e metabolismo,53723.52
2012-06,Alentejo,Sangue,159580.5
2012-06,Norte,Sangue,972722.1499999999
2012-06,Algarve,Sistema nervoso central,767319.03
2012-06,Lisboa,Sistema nervoso central,7661078.5
2012-06,Lisboa,Vacinas e imunoglobulinas,33640.73
2012-07,Alentejo,Aparelho cardiovascular,1404053.16
2012-07,Centro,Aparelho cardiovascular,7243410.680000001
2012-07,Alentejo,Aparelho geniturinário,81799.22
2012-07,Lisboa,Aparelho locomotor,1991410.06
2012-07,Lisboa,Aparelho respiratório,2231881.11
2012-07,Algarve,Medicação antialérgica,12550.58
2012-07,Alentejo,Medicamentos anti-infecciosos,143350.44
2012-07,Lisboa,Medicamentos antineoplásicos e imunomoduladores,221658.25
2012-07,Algarve,Medicamentos usados em afecções cutâneas,34853.520000000004
2012-07,Norte,Medicamentos usados em afecções cutâneas,298626.28
2012-07,Alentejo,Medicamentos usados em afecções oculares,104653.08
2012-07,Alentejo,Medicamentos usados em afecções otorrinolaringológicas,7490.58
2012-07,Algarve,Medicamentos usados em afecções otorrinolaringológicas,7640.91
2012-07,Centro,Nutrição e metabolismo,44342.9
2012-07,Centro,Sangue,925442.0800000001
2012-07,Centro,Sistema nervoso central,5450971.16
2012-07,Lisboa,Sistema nervoso central,7824712.1
2012-07,Alentejo,Vacinas e imunoglobulinas,1485.95
2012-07,Algarve,Vacinas e imunoglobulinas,2788.22
2012-08,Lisboa,Aparelho cardiovascular,8639063.350000001
2012-08,Algarve,Aparelho locomotor,265559.75
2012-08,Lisboa,Aparelho locomotor,1796238.0
2012-08,Alentejo,Correctivos da volémia e das alterações electrolíticas,373.83
2012-08,Norte,Correctivos da volémia e das alterações electrolíticas,1421.61
2012-08,Centro,Hormonas e medicamentos usados no tratamento das doenças endócrinas,4693751.59
2012-08,Norte,Medicação antialérgica,96099.8
2012-08,Algarve,Medicamentos usados em afecções oculares,79877.87
2012-08,Centro,Medicamentos usados em afecções oculares,677910.5399999999
2012-08,Lisboa,Medicamentos usados em afecções oculares,826542.2999999999
2012-08,Alentejo,Medicamentos usados em afecções otorrinolaringológicas,7504.16
2012-08,Alentejo,Medicamentos usados no tratamento de intoxicações,363.93
2012-08,Algarve,Medicamentos usados no tratamento de intoxicações,1240.9
2012-08,Lisboa,Medicamentos usados no tratamento de intoxicações,3559.4
2012-08,Centro,Nutrição e metabolismo,44643.38
2012-09,Lisboa,Aparelho cardiovascular,8581212.67
2012-09,Lisboa,Aparelho digestivo,923452.25
2012-09,Norte,Aparelho geniturinário,502725.01
2012-09,Algarve,Correctivos da volémia e das alterações electrolíticas,99.84
2012-09,Lisboa,Correctivos da volémia e das alterações electrolíticas,2495.62
2012-09,Norte,Correctivos da volémia e das alterações electrolíticas,1482.26
2012-09,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5424082.69
2012-09,Norte,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5676873.75
2012-09,Algarve,Medicamentos anti-infecciosos,139404.95
2012-09,Norte,Medicamentos anti-infecciosos,1096144.78
2012-09,Algarve,Medicamentos antineoplásicos e imunomoduladores,20123.2
2012-09,Norte,Medicamentos antineoplásicos e imunomoduladores,230022.45
2012-09,Centro,Medicamentos usados em afecções oculares,667770.8400000001
2012-09,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,110538.97
2012-09,Centro,Nutrição e metabolismo,43179.35
2012-09,Lisboa,Nutrição e metabolismo,54661.53
2012-09,Centro,Sangue,923806.05
2012-10,Lisboa,Aparelho cardiovascular,9246597.69
2012-10,Alentejo,Aparelho geniturinário,87928.48
2012-10,Lisboa,Aparelho geniturinário,539531.8
2012-10,Alentejo,Aparelho locomotor,277935.22
2012-10,Algarve,Correctivos da volémia e das alterações electrolíticas,75.81
2012-10,Norte,Correctivos da volémia e das alterações electrolíticas,1834.82
2012-10,Centro,Hormonas e medicamentos usados no tratamento das doenças endócrinas,4932394.69
2012-10,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,6146501.54
2012-10,Alentejo,Medicação antialérgica,19363.09
2012-10,Centro,Medicação antialérgica,92300.75
2012-10,Lisboa,Medicação antialérgica,166886.74
2012-10,Norte,Medicação antialérgica,125648.09
2012-10,Alentejo,Medicamentos anti-infecciosos,163688.12
2012-10,Lisboa,Medicamentos antineoplásicos e imunomoduladores,236448.63
2012-10,Alentejo,Medicamentos usados em afecções cutâneas,24855.73
2012-10,Algarve,Medicamentos usados em afecções cutâneas,35404.25
2012-10,Norte,Medicamentos usados em afecções cutâneas,316901.00999999995
2012-10,Alentejo,Medicamentos usados em afecções oculares,111894.01
2012-10,Alentejo,Medicamentos usados no tratamento de intoxicações,246.8
2012-10,Lisboa,Medicamentos usados no tratamento de intoxicações,4881.66
2012-10,Norte,Medicamentos usados no tratamento de intoxicações,1274.02
2012-10,Alentejo,Sistema nervoso central,1185243.74
2012-10,Norte,Sistema nervoso central,6316549.49
2012-10,Lisboa,Vacinas e imunoglobulinas,378139.51
2012-11,Lisboa,Aparelho cardiovascular,8681614.59
2012-11,Norte,Aparelho cardiovascular,7675873.0
2012-11,Algarve,Aparelho digestivo,94853.64
2012-11,Alentejo,Aparelho geniturinário,83416.16
2012-11,Norte,Aparelho geniturinário,520053.48
2012-11,Algarve,Aparelho locomotor,251166.9
2012-11,Centro,Aparelho locomotor,1606624.29
